,motion,device,condition,value
394,upper,off,右方向-復路,-0.42386051769379307
395,upper,off,右方向-復路,-0.20646689102495586
396,upper,off,右方向-復路,-0.005208136933239397
397,upper,off,右方向-復路,0.10976449951454169
398,upper,off,右方向-復路,0.07445280207850138
399,upper,off,右方向-復路,0.17660999420252244
400,upper,off,右方向-復路,-0.7891302427688703
401,upper,off,右方向-復路,-0.6792318460770684
402,upper,off,右方向-復路,-0.800740490564147
403,upper,off,右方向-復路,-1.0267488243006613
404,upper,off,右方向-復路,-0.9528513643162678
405,upper,off,右方向-復路,-0.873292422975608
406,upper,off,右方向-復路,-1.2096116727506354
407,upper,off,右方向-復路,-1.122740675449961
408,upper,off,右方向-復路,-0.8525863660222744
409,upper,off,右方向-復路,-0.9557685175921349
410,upper,off,右方向-復路,-0.8026946396804123
411,upper,off,右方向-復路,-1.0596092900706888
412,upper,off,右方向-復路,-1.1608813234792834
413,upper,off,右方向-復路,-0.8102912813943256
414,upper,off,右方向-復路,-0.9615990797629587
415,upper,off,右方向-復路,-0.5169763887604523
416,upper,off,右方向-復路,-0.8234207539609619
417,upper,off,右方向-復路,-0.8712594460830798
418,upper,off,右方向-復路,-0.8992746670437912
419,upper,off,右方向-復路,-0.9268916060155669
420,upper,off,右方向-復路,-0.3822266894719476
421,upper,off,右方向-復路,-0.6035815903999208
422,upper,off,右方向-復路,-0.2922412054241146
423,upper,off,右方向-復路,-0.7235383127980646
424,upper,off,右方向-復路,-0.7112898178852473
425,upper,off,右方向-復路,-0.6291099633048866
426,upper,off,右方向-復路,-0.9791567524009962
427,upper,off,右方向-復路,-0.5379538553729185
428,upper,off,右方向-復路,-0.8279177144671611
429,upper,off,右方向-復路,-0.5243803748445103
430,upper,off,右方向-復路,-0.299641333489555
431,upper,off,右方向-復路,-0.39941529300149453
432,upper,off,右方向-復路,-0.3990728082207591
433,upper,off,右方向-復路,-0.6751957871973787
434,upper,off,右方向-復路,-0.3900658939609302
435,upper,off,右方向-復路,-0.6900952761030128
436,upper,off,右方向-復路,-0.9596613253666199
437,upper,off,右方向-復路,-0.4020377442455434
438,upper,off,右方向-復路,-0.8284348294189751
439,upper,off,右方向-復路,-0.41502424571422636
440,upper,off,右方向-復路,-0.6878834163544617
441,upper,off,右方向-復路,-0.506898640384053
442,upper,off,右方向-復路,-0.5184138957584256
443,upper,off,右方向-復路,-0.411072073198344
444,upper,off,右方向-復路,-0.4827466737642881
445,upper,off,右方向-復路,-1.0346277189078177
446,upper,off,右方向-復路,-1.0757075309682513
447,upper,off,右方向-復路,-0.926677909177465
448,upper,off,右方向-復路,-0.9756962401812413
449,upper,off,右方向-復路,-0.8438497061128359
450,upper,off,右方向-復路,-0.8420327337256189
451,upper,off,右方向-復路,-0.7892934201239113
452,upper,off,右方向-復路,-0.5394608459089472
453,upper,off,右方向-復路,-0.602359871750964
454,upper,off,右方向-復路,-0.799590666891849
455,upper,off,右方向-復路,-0.7596001150905846
456,upper,off,右方向-復路,-0.3408789176643678
457,upper,off,右方向-復路,0.3833061090473031
458,upper,off,右方向-復路,1.7772737952832467
459,upper,off,右方向-復路,-0.7307511889400349
460,upper,off,右方向-復路,-0.8901948742341034
461,upper,off,右方向-復路,-0.9703515583965877
462,upper,off,右方向-復路,-1.0218328700468955
463,upper,off,右方向-復路,-0.9258489944580486
464,upper,off,右方向-復路,-0.9399682793792714
465,upper,off,右方向-復路,-0.8984409368317199
466,upper,off,右方向-復路,-0.9410570681876946
467,upper,off,右方向-復路,-1.2307833121567802
468,upper,off,右方向-復路,-1.0889468183962712
469,upper,off,右方向-復路,-0.9020990854282607
470,upper,off,右方向-復路,-0.5961130900872034
471,upper,off,右方向-復路,-0.9514437833222356
472,upper,off,右方向-復路,-0.6481747888999653
473,upper,off,右方向-復路,-0.8073658997311026
474,upper,off,右方向-復路,-0.8804784521592378
475,upper,off,右方向-復路,-0.9262068037429694
476,upper,off,右方向-復路,-0.913385225718175
477,upper,off,右方向-復路,-0.7302840609512647
478,upper,off,右方向-復路,-0.7732254461964435
479,upper,off,右方向-復路,-0.5635063755621847
480,upper,on,左方向-往路,1.167069808580788
481,upper,on,左方向-往路,0.5726310232462584
482,upper,on,左方向-往路,0.37983149372712466
483,upper,on,左方向-往路,0.3864722098429264
484,upper,on,左方向-往路,0.3789377076968743
485,upper,on,左方向-往路,3.2136559065618204
486,upper,on,左方向-往路,2.686163702735561
487,upper,on,左方向-往路,2.861097233244303
488,upper,on,左方向-往路,3.271474802899982
489,upper,on,左方向-往路,2.6672106250427285
490,upper,on,左方向-往路,0.6998692506829861
491,upper,on,左方向-往路,0.16237843739247093
492,upper,on,左方向-往路,-0.14266548449772906
493,upper,on,左方向-往路,-0.6197047258990634
494,upper,on,左方向-往路,0.49220760904903443
495,upper,on,左方向-往路,2.2519356039244154
496,upper,on,左方向-往路,3.3354282322837303
497,upper,on,左方向-往路,2.6672584257519345
498,upper,on,左方向-往路,1.9405039861480124
499,upper,on,左方向-往路,1.1614428893660818
500,upper,on,左方向-往路,-0.5801293814129331
501,upper,on,左方向-往路,-0.3625482422643325
502,upper,on,左方向-往路,1.192507844583302
503,upper,on,左方向-往路,-0.7881047695152249
504,upper,on,左方向-往路,-0.7381335067390278
505,upper,on,左方向-往路,1.4251779099683457
506,upper,on,左方向-往路,0.9148742411664476
507,upper,on,左方向-往路,0.8629412333520455
508,upper,on,左方向-往路,-0.05790610385152199
509,upper,on,左方向-往路,-0.019502415922085802
510,upper,on,左方向-往路,-0.12162770837682911
511,upper,on,左方向-往路,-0.3284066705377569
512,upper,on,左方向-往路,0.017294315927040064
513,upper,on,左方向-往路,0.14503886788781084
514,upper,on,左方向-往路,0.08029197157179944
515,upper,on,左方向-往路,1.1923314580736324
516,upper,on,左方向-往路,-0.49625246391538236
517,upper,on,左方向-往路,3.2423742956829718
518,upper,on,左方向-往路,3.0532239896657365
519,upper,on,左方向-往路,2.3263741460499405
520,upper,on,左方向-往路,2.963817364727739
521,upper,on,左方向-往路,2.428758586303217
522,upper,on,左方向-往路,1.7201359695631733
523,upper,on,左方向-往路,2.6861029521067152
524,upper,on,左方向-往路,2.618646577802698
525,upper,on,左方向-往路,-0.6059162554227058
526,upper,on,左方向-往路,-0.4940947293764116
527,upper,on,左方向-往路,-0.7187541360318034
528,upper,on,左方向-往路,-0.6091366834119119
529,upper,on,左方向-往路,0.03657898370973259
530,upper,on,左方向-往路,2.420542940957424
531,upper,on,左方向-往路,1.035723999611773
532,upper,on,左方向-往路,2.082834408826945
533,upper,on,左方向-往路,1.6883560261022992
534,upper,on,左方向-往路,1.104851730224409
535,upper,on,左方向-往路,1.1222355146005414
536,upper,on,左方向-往路,0.12145826526547274
537,upper,on,左方向-往路,0.9528400038240054
538,upper,on,左方向-往路,0.835520831732452
539,upper,on,左方向-往路,0.3780909353686245
540,upper,on,左方向-往路,1.114110830862782
541,upper,on,左方向-往路,0.9339993234895725
542,upper,on,左方向-往路,2.2087894793335927
543,upper,on,左方向-往路,1.5103186098931682
544,upper,on,左方向-往路,2.592445340958726
545,upper,on,左方向-往路,0.46163184327820117
546,upper,on,左方向-往路,1.1614227253748297
547,upper,on,左方向-往路,0.9725325269230592
548,upper,on,左方向-往路,0.4710593023314805
549,upper,on,左方向-往路,-0.3355597150408046
550,upper,on,左方向-往路,2.1191521505764213
551,upper,on,左方向-往路,2.44782806457455
552,upper,on,左方向-往路,2.195780030636918
553,upper,on,左方向-往路,2.4632281892917325
554,upper,on,左方向-往路,0.9605841519156229
555,upper,on,左方向-往路,1.3054921252326734
556,upper,on,左方向-往路,0.8035156862947792
557,upper,on,左方向-往路,-0.04282165317567814
558,upper,on,左方向-往路,-0.8215597927091839
559,upper,on,左方向-往路,1.1494585760092586
560,upper,on,左方向-往路,3.1066110088539953
561,upper,on,左方向-往路,3.5646812840583015
562,upper,on,左方向-往路,3.441825340875935
563,upper,on,左方向-往路,3.6862982786405123
564,upper,on,左方向-往路,3.7333959921935165
565,upper,on,左方向-往路,1.5091074317865607
566,upper,on,左方向-往路,1.2522521961674096
567,upper,on,左方向-往路,0.9853080161024558
568,upper,on,左方向-往路,1.7096148938715399
569,upper,on,左方向-往路,1.22661558698523
570,upper,on,左方向-往路,1.9924900295677155
571,upper,on,左方向-往路,2.1540857107540754
572,upper,on,左方向-往路,2.099416722466047
573,upper,on,左方向-往路,1.3091377981187045
574,upper,on,左方向-往路,1.5991617563389078
575,upper,on,左方向-往路,0.09326487615362224
576,upper,on,左方向-往路,0.33713783746396736
577,upper,on,左方向-往路,0.09605810375393546
578,upper,on,左方向-往路,-0.10227428459248093
579,upper,on,左方向-往路,0.5138775599915246
580,upper,on,左方向-往路,2.415664565843903
581,upper,on,左方向-往路,1.8976716931861413
582,upper,on,左方向-往路,1.9666121134311902
583,upper,on,左方向-往路,-1.0910952329902213
584,upper,on,左方向-往路,1.3926063077077753
585,upper,on,左方向-往路,1.902601190120802
586,upper,on,左方向-往路,1.2047390722941231
587,upper,on,左方向-往路,1.3960577261128975
588,upper,on,左方向-往路,-0.7982248207748275
589,upper,on,左方向-往路,1.2577163493753234
590,upper,on,左方向-往路,-0.21334389315775046
591,upper,on,左方向-往路,0.566874156742939
592,upper,on,左方向-往路,0.4497257912712935
593,upper,on,左方向-往路,0.541734193608451
594,upper,on,左方向-往路,1.3242541177102638
595,upper,on,左方向-往路,-0.23626536257486278
